id,created_at,title,description,categoryId,brandId,material,condition,originalPrice,currency,unitsSold,updated_at,images,tags
3,2025-04-17T10:15:00.123456+00,"{""en"": ""Adidas Running Shoes""}","{""en"": ""High-performance running shoes with cushioned soles for maximum comfort.""}",8,1,Synthetic,New,1500,EGP,45,2025-04-17T10:15:00.123456+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/3/shoes-adidas.jpg""]","[""running"",""sports"",""shoes""]"
4,2025-04-17T10:30:00.654321+00,"{""en"": ""Nike Basketball Shorts""}","{""en"": ""Breathable shorts designed for basketball and intense workouts.""}",3,2,Polyester,New,450.75,EGP,30,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/4/shorts-nike.jpg""]","[""men-clothes"",""sports"",""basketball""]"
5,2025-04-17T10:45:00.987654+00,"{""en"": ""Gucci Leather Handbag""}","{""en"": ""Elegant leather handbag for women, perfect for formal occasions.""}",7,4,Leather,Used,8500,EGP,8,2025-04-17T10:45:00.987654+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/5/bag-gucci.jpg""]","[""luxury"",""handbag"",""women""]"
6,2025-04-17T11:00:00.456789+00,"{""en"": ""Chanel Sunglasses""}","{""en"": ""Stylish sunglasses with UV protection, ideal for sunny days.""}",1,5,Plastic,New,3200,EGP,15,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/6/sunglasses-chanel.jpg""]","[""accessories"",""fashion"",""sunglasses""]"
7,2025-04-17T11:15:00.321654+00,"{""en"": ""D&G Silk Scarf""}","{""en"": ""Luxurious silk scarf for women, perfect for evening wear.""}",1,6,Silk,New,1200.5,EGP,10,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/7/scarf-dg.jpg""]","[""accessories"",""luxury"",""women""]"
8,2025-04-17T11:30:00.789123+00,"{""en"": ""Dior Women's Dress""}","{""en"": ""Elegant cotton dress for women, suitable for parties.""}",4,7,Cotton,New,4500,EGP,5,2025-04-17T11:30:00.789123+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/8/dress-dior.jpg""]","[""women-clothes"",""fashion"",""party""]"
9,2025-04-17T11:45:00.456789+00,"{""en"": ""Rolex Stainless Steel Watch""}","{""en"": ""Classic stainless steel watch, perfect for formal occasions.""}",1,8,Stainless Steel,Used,25000,EGP,3,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/9/watch-rolex.jpg""]","[""luxury"",""watch"",""men""]"
10,2025-04-17T12:00:00.123456+00,"{""en"": ""Tommy Hilfiger Polo Shirt""}","{""en"": ""Casual cotton polo shirt for men, ideal for daily wear.""}",3,9,Cotton,New,600,EGP,25,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/10/polo-tommy.jpg""]","[""men-clothes"",""casual"",""fashion""]"
11,2025-04-17T12:15:00.654321+00,"{""en"": ""Furla Canvas Tote Bag""}","{""en"": ""Durable canvas tote bag, great for shopping or travel.""}",7,10,Canvas,New,1800,EGP,12,2025-04-17T12:15:00.654321+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/11/tote-furla.jpg""]","[""bags"",""casual"",""women""]"
12,2025-04-17T12:30:00.987654+00,"{""en"": ""Lacoste Sneakers""}","{""en"": ""Comfortable sneakers for men and women, ideal for casual outings.""}",8,11,Synthetic,New,1100,EGP,20,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/12/sneakers-lacoste.jpg""]","[""shoes"",""casual"",""fashion""]"
13,2025-04-17T12:45:00.456789+00,"{""en"": ""Puma Gym Bag""}","{""en"": ""Spacious gym bag with multiple compartments for sports gear.""}",7,12,Polyester,New,750,EGP,18,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/13/gymbag-puma.jpg""]","[""bags"",""sports"",""gym""]"
14,2025-04-17T13:00:00.321654+00,"{""en"": ""Prada Leather Wallet""}","{""en"": ""Premium leather wallet with multiple card slots.""}",1,13,Leather,New,2800,EGP,7,2025-04-17T13:00:00.321654+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/14/wallet-prada.jpg""]","[""accessories"",""luxury"",""men""]"
15,2025-04-17T13:15:00.789123+00,"{""en"": ""LocalTrend Cotton T-Shirt""}","{""en"": ""Soft cotton t-shirt with unique local designs.""}",3,14,Cotton,New,200,EGP,40,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/15/tshirt-local.jpg""]","[""men-clothes"",""casual"",""local""]"
16,2025-04-17T13:30:00.456789+00,"{""en"": ""Under Armour Sports Bra""}","{""en"": ""Supportive sports bra for women, ideal for workouts.""}",4,15,Polyester,New,350,EGP,22,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/16/sportsbra-ua.jpg""]","[""women-clothes"",""sports"",""gym""]"
17,2025-04-17T13:45:00.123456+00,"{""en"": ""Zara Denim Jacket""}","{""en"": ""Stylish denim jacket for women, perfect for casual outings.""}",4,16,Cotton,New,900,EGP,15,2025-04-17T13:45:00.123456+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/17/jacket-zara.jpg""]","[""women-clothes"",""casual"",""fashion""]"
18,2025-04-17T14:00:00.654321+00,"{""en"": ""Adidas Soccer Ball""}","{""en"": ""High-quality soccer ball for professional and casual play.""}",9,1,PU Leather,New,400,EGP,35,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/18/soccer-adidas.jpg""]","[""sports"",""soccer"",""equipment""]"
19,2025-04-17T14:15:00.987654+00,"{""en"": ""Nike Wireless Earbuds""}","{""en"": ""Water-resistant wireless earbuds with superior sound quality.""}",5,2,Plastic,New,2200,EGP,10,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/19/earbuds-nike.jpg""]","[""electronics"",""audio"",""sports""]"
20,2025-04-17T14:30:00.456789+00,"{""en"": ""Gucci Silk Tie""}","{""en"": ""Elegant silk tie for men, perfect for formal events.""}",1,4,Silk,New,1500,EGP,6,2025-04-17T14:30:00.456789+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/20/tie-gucci.jpg""]","[""accessories"",""luxury"",""men""]"
21,2025-04-17T14:45:00.321654+00,"{""en"": ""Chanel Perfume""}","{""en"": ""Long-lasting floral fragrance for women.""}",1,5,Glass,New,3500,EGP,9,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/21/perfume-chanel.jpg""]","[""accessories"",""luxury"",""fragrance""]"
22,2025-04-17T15:00:00.789123+00,"{""en"": ""D&G Leather Belt""}","{""en"": ""Premium leather belt for men, ideal for formal wear.""}",1,6,Leather,New,900,EGP,14,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/22/belt-dg.jpg""]","[""accessories"",""luxury"",""men""]"
23,2025-04-17T15:15:00.456789+00,"{""en"": ""Dior Sneakers""}","{""en"": ""Luxury sneakers for women, combining style and comfort.""}",8,7,Synthetic,New,4200,EGP,4,2025-04-17T15:15:00.456789+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/23/sneakers-dior.jpg""]","[""shoes"",""luxury"",""women""]"
24,2025-04-17T15:30:00.123456+00,"{""en"": ""Tommy Hilfiger Backpack""}","{""en"": ""Durable backpack for school or travel.""}",7,9,Polyester,New,650,EGP,28,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/24/backpack-tommy.jpg""]","[""bags"",""casual"",""travel""]"
25,2025-04-17T15:45:00.654321+00,"{""en"": ""Lacoste Kids T-Shirt""}","{""en"": ""Comfortable cotton t-shirt for kids, ideal for playtime.""}",11,11,Cotton,New,250,EGP,32,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/25/tshirt-kids-lacoste.jpg""]","[""kids"",""casual"",""fashion""]"
26,2025-04-17T16:00:00.987654+00,"{""en"": ""Puma Yoga Mat""}","{""en"": ""Non-slip yoga mat for fitness enthusiasts.""}",9,12,PVC,New,300,EGP,20,2025-04-17T16:00:00.987654+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/26/yogamat-puma.jpg""]","[""sports"",""yoga"",""equipment""]"
27,2025-04-17T16:15:00.456789+00,"{""en"": ""Prada Evening Gown""}","{""en"": ""Elegant evening gown for women, perfect for galas.""}",4,13,Silk,New,12000,EGP,2,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/27/gown-prada.jpg""]","[""women-clothes"",""luxury"",""formal""]"
28,2025-04-17T16:30:00.321654+00,"{""en"": ""LocalTrend Wooden Toy Set""}","{""en"": ""Eco-friendly wooden toy set for kids, encouraging creativity.""}",10,14,Wood,New,400,EGP,15,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/28/toys-local.jpg""]","[""toys"",""kids"",""eco-friendly""]"
29,2025-04-17T16:45:00.789123+00,"{""en"": ""Under Armour Running Cap""}","{""en"": ""Breathable running cap for men and women.""}",1,15,Polyester,New,200,EGP,25,2025-04-17T16:45:00.789123+00,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/29/cap-ua.jpg""]","[""accessories"",""sports"",""running""]"
30,2025-04-17T17:00:00.456789+00,"{""en"": ""Zara Table Lamp""}","{""en"": ""Modern table lamp for home decor, with adjustable brightness.""}",2,16,Metal,New,800,EGP,10,,"[""https://sdhruyqfvlixtieyedcc.supabase.co/storage/v1/object/public/product-images/30/lamp-zara.jpg""]","[""home"",""decor"",""lighting""]"
